Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
13.70,4,0.7251161396267274642073093123,0.752343137549539,0.752343137549539,0.728661782817239,0.728661782817239,0.313213720378213,0.3649315518184854900663228681,0.2736576606352983900663228681,0.0912738911831871,5.227258785870082051700180388,24.49140915245987816843247626,24.491408990087607716117088221,397226000
13.71,0,0.7250949625592066096200851428,0.725094962559207,0.725094962559207,0.725094962559207,0.725094962559207,0,0.0000000,0.0000000,0,5.2254108310633162147843828078,24.047816856921092727716395377,24.487038168528640385579696909,397516000
13.71,2,0.7250949625592066096200851428,0.730956236798859,0.730956236798859,0.725979186965137,0.725979186965137,0.129852045795132,0.1552829482131527353397355382,0.1367780288878256353397355382,0.0185049193253271,5.2254108310633162147843828078,24.257078059147495156120623182,24.487038168528640385579696909,397516000
13.71,4,0.7250949625592066096200851428,0.752312909377636,0.752312909377636,0.728640502198961,0.728640502198961,0.313086507535578,0.3648025402492612706794710765,0.2735560577756512706794710765,0.09124648247361,5.2254108310633162147843828078,24.487038331549820266827207907,24.487038168528640385579696909,397516000
13.72,0,0.7250738412377631180483272905,0.725073841237763,0.725073841237763,0.725073841237763,0.725073841237763,0,0.0000000,0.0000000,0,5.2235651064015097043880778223,24.041960432152036703600475212,24.482670130810522404467548345,397806000
13.72,2,0.7250738412377631180483272905,0.730935561775566,0.730935561775566,0.725958039887084,0.725958039887084,0.129865932798455,0.1552961052089812694481431001,0.1367272792823197694481431001,0.0185688259266615,5.2235651064015097043880778223,24.252626781504298896185633483,24.482670130810522404467548345,397806000
13.72,4,0.7250738412377631180483272905,0.752282747948569,0.752282747948569,0.728619277599345,0.728619277599345,0.312959446099557,0.3646736843735781388962862002,0.2734545585646395388962862002,0.0912191258089386,5.2235651064015097043880778223,24.482670294481179140243590156,24.482670130810522404467548345,397806000
13.73,0,0.7250527421638883308336709009,0.725052742163888,0.725052742163888,0.725052742163888,0.725052742163888,0,0.0000000,0.0000000,0,5.2217222117052309622557322482,24.036104497808530199743781313,24.478302646449049522420489804,398095900
13.73,2,0.7250527421638883308336709009,0.730914911553967,0.730914911553967,0.725936915083729,0.725936915083729,0.129879891776617,0.1553093350013703575310226077,0.1366766024733747575310226077,0.0186327325279956,5.2217222117052309622557322482,24.248180417570880464399472491,24.478302646449049522420489804,398095900
13.73,4,0.7250527421638883308336709009,0.752252622603108,0.752252622603108,0.728598075356083,0.728598075356083,0.312832580191685,0.3645450260668115150620452155,0.2733532049467495150620452155,0.091191821120062,5.2217222117052309622557322482,24.478302810770009689865597667,24.478302646449049522420489804,398095900
13.74,0,0.7250316962571071437350026060,0.725031696257107,0.725031696257107,0.725031696257107,0.725031696257107,0,0.0000000,0.0000000,0,5.2198818769752255118006493843,24.03025802676940047366389915,24.473942466491240989600678462,398385800
13.74,2,0.7250316962571071437350026060,0.73089431674472,0.73089431674472,0.725915843512304,0.725915843512304,0.129893912264752,0.1553226282001249416838581147,0.1366259890707949416838581147,0.01869663912933,5.2198818769752255118006493843,24.243746869323625907807247012,24.473942466491240989600678462,398385800
13.74,4,0.7250316962571071437350026060,0.752222563021405,0.752222563021405,0.728576926539889,0.728576926539889,0.312705888840989,0.3644165464794566833677162294,0.2732519781415898833677162294,0.0911645683378668,5.2198818769752255118006493843,24.473942631462500776458599596,24.473942466491240989600678462,398385800
13.75,0,0.7250106744359344171720060535,0.725010674435934,0.725010674435934,0.725010674435934,0.725010674435934,0,0.0000000,0.0000000,0,5.218044741642406038414621125,24.024413719951077162357266718,24.469584063193751703693863166,398675800
13.75,2,0.7250106744359344171720060535,0.730873749028787,0.730873749028787,0.725894796055858,0.725894796055858,0.129908017620312,0.1553360071601499818798106943,0.1365754614294858818798106943,0.0187605457306641,5.218044741642406038414621125,24.239319674019807883722381326,24.469584063193751703693863166,398675800
13.75,4,0.7250106744359344171720060535,0.75219254316494,0.75219254316494,0.728555801927077,0.728555801927077,0.312579418617967,0.3642882902522125637596213886,0.2731509228589717637596213886,0.0911373673932408,5.218044741642406038414621125,24.469584228815972673805574086,24.469584063193751703693863166,398675800
13.76,0,0.7249896957689389322853211326,0.724989695768939,0.724989695768939,0.724989695768939,0.724989695768939,0,0.0000000,0.0000000,0,5.2162098357296238218636256887,24.018572843695605591900977404,24.465228468625118230421633203,398965700
13.76,2,0.7249896957689389322853211326,0.730853226305919,0.730853226305919,0.725873791806214,0.725873791806214,0.129922173373576,0.1553494380574118787572754950,0.1365249857254134787572754950,0.0188244523319984,5.2162098357296238218636256887,24.23489998555317078128045713,24.465228468625118230421633203,398965700
13.76,4,0.7249896957689389322853211326,0.752162577425131,0.752162577425131,0.728534720679455,0.728534720679455,0.312453100633736,0.3641601896678996575145509900,0.2730499714508269575145509900,0.0911102182170727,5.2162098357296238218636256887,24.465228634898866368061778893,24.465228468625118230421633203,398965700
13.77,0,0.7249687506132824098674821157,0.724968750613282,0.724968750613282,0.724968750613282,0.724968750613282,0,0.0000000,0.0000000,0,5.214377519268892979935152691,24.012732305058056130284819635,24.460873333129533599237750916,399255700
13.77,2,0.7249687506132824098674821157,0.730832739367206,0.730832739367206,0.725852821108775,0.725852821108775,0.129936392455849,0.1553629334939546293886414254,0.1364745745606218293886414254,0.0188883589333328,5.214377519268892979935152691,24.230485062627267554616182527,24.460873333129533599237750916,399255700
13.77,4,0.7249687506132824098674821157,0.752132657888922,0.752132657888922,0.728513673107034,0.728513673107034,0.312326960637982,0.3640322698614932587772828509,0.2729491491212436587772828509,0.0910831207402496,5.214377519268892979935152691,24.460873500055653209323059574,24.460873333129533599237750916,399255700
13.78,0,0.7249478495723566590339724354,0.724947849572357,0.724947849572357,0.724947849572357,0.724947849572357,0,0.0000000,0.0000000,0,5.2125480715935361712511099888,24.006897899842371870766430973,24.456522978330257001205748944,399545600
13.78,2,0.7249478495723566590339724354,0.730812299163997,0.730812299163997,0.725831894579863,0.725831894579863,0.129950684275797,0.1553765032549067948197014245,0.1364242377202396948197014245,0.0189522655346671,5.2125480715935361712511099888,24.226079976944467767498436892,24.456522978330257001205748944,399545600
13.78,4,0.7249478495723566590339724354,0.752102796545928,0.752102796545928,0.728492669865055,0.728492669865055,0.312201017341074,0.3639045503341389896394028490,0.2728484754404793896394028490,0.0910560748936596,5.2125480715935361712511099888,24.456523145909050716715531008,24.456522978330257001205748944,399545600
13.79,0,0.7249269799800495804237539334,0.72492697998005,0.72492697998005,0.72492697998005,0.72492697998005,0,0.0000000,0.0000000,0,5.21072128284142610797317352,24.001073634215651753085382556,24.452180425720981436646013597,399835600
13.79,2,0.7249269799800495804237539334,0.730791892768008,0.730791892768008,0.72581099953792,0.72581099953792,0.129965041989424,0.1553901400492538614139543974,0.1363739679132525614139543974,0.0190161721360013,5.21072128284142610797317352,24.221688244172064052769404842,24.452180425720981436646013597,399835600
13.79,4,0.7249269799800495804237539334,0.752072979677096,0.752072979677096,0.728471698225471,0.728471698225471,0.312075257015426,0.3637770164346954228279087948,0.2727479358265051228279087948,0.0910290806081903,5.21072128284142610797317352,24.452180593952379227057256556,24.452180425720981436646013597,399835600
13.80,0,0.7249061444186435134467500051,0.724906144418644,0.724906144418644,0.724906144418644,0.724906144418644,0,0.0000000,0.0000000,0,5.2088965527518754754931351814,23.995239084530144797443590291,24.447830414421971967260614133,400125500
13.80,2,0.7249061444186435134467500051,0.730771522033051,0.730771522033051,0.725790138568377,0.725790138568377,0.129979444600751,0.1554038229585015305114784449,0.1363237442211657305114784449,0.0190800787373358,5.2088965527518754754931351814,24.21729196290570150418911956,24.447830414421971967260614133,400125500
13.80,4,0.7249061444186435134467500051,0.752043206947791,0.752043206947791,0.72845076078319,0.72845076078319,0.311949637676005,0.3636496262570612610229568899,0.2726474884423314610229568899,0.0910021378147298,5.2088965527518754754931351814,24.447830583307824352526748934,24.447830414421971967260614133,400125500
13.81,0,0.7248853507546814614476605126,0.724885350754682,0.724885350754682,0.724885350754682,0.724885350754682,0,0.0000000,0.0000000,0,5.2070750510522569324329028276,23.989420936249776579347307376,24.443492850639152151431597916,400415500
